,California,New York,Texas,Washington,Massachusetts,Colorado,Florida,Minnesota,District of Columbia,Wisconsin,Michigan,Alabama,Rhode Island,Connecticut,New Jersey,Virginia,South Carolina,Georgia,West Virginia,Arizona,Tennessee,Pennsylvania,North Carolina,Maine,Utah,Maryland,Illinois,Hawaii,Wyoming,Arkansas,Ohio,South Dakota,New Mexico,Mississippi,Idaho,Louisiana,Alaska,Oklahoma,North Dakota,Kentucky,Oregon,New Hampshire,Montana,Kansas,Vermont,Indiana,Nevada,Missouri,Iowa,Delaware,Nebraska
2008-01-01,43801.0,48246.0,46111.0,47357.0,54461.0,46677.0,43264.0,49860.0,60529.0,46757.0,41948.0,42242.0,44835.0,61514.0,53849.0,49384.0,40425.0,42027.0,40351.0,38967.0,42800.0,46902.0,45877.0,42076.0,39101.0,50561.0,48415.0,42839.0,58234.0,40983.0,44451.0,53966.0,39593.0,39184.0,38633.0,47048.0,51624.0,49104.0,53507.0,41032.0,42239.0,48279.0,42420.0,51282.0,45363.0,43045.0,42848.0,47099.0,49431.0,45923.0,50465.0
2009-01-01,42404.0,47526.0,43378.0,44859.0,54176.0,44290.0,41222.0,46758.0,59777.0,45576.0,40151.0,41995.0,43821.0,60539.0,50491.0,48503.0,39578.0,41967.0,41150.0,36641.0,42858.0,45727.0,44344.0,42256.0,35790.0,49375.0,45573.0,41152.0,51850.0,40970.0,42857.0,51592.0,38605.0,39758.0,37037.0,45972.0,50046.0,45641.0,51491.0,40970.0,39641.0,48280.0,41648.0,48299.0,44683.0,41599.0,39476.0,45186.0,46716.0,45268.0,48959.0
2010-01-01,43519.0,48800.0,44111.0,45638.0,55691.0,44902.0,42760.0,48225.0,61216.0,45543.0,40984.0,41757.0,46190.0,63476.0,51790.0,48535.0,39126.0,40688.0,40655.0,37162.0,42936.0,47012.0,42730.0,43057.0,36432.0,50625.0,45785.0,41970.0,53752.0,40280.0,43444.0,51386.0,39402.0,39144.0,37925.0,45712.0,53121.0,45446.0,54692.0,40634.0,40049.0,49950.0,43077.0,47376.0,46082.0,42305.0,40941.0,43938.0,46319.0,44779.0,49338.0
2011-01-01,44858.0,49369.0,46689.0,46298.0,56417.0,45642.0,43276.0,50075.0,63314.0,47258.0,42716.0,41849.0,46973.0,62986.0,52199.0,49648.0,39851.0,42371.0,41704.0,38384.0,43816.0,48346.0,42479.0,44300.0,36776.0,51131.0,46627.0,42000.0,55954.0,41286.0,45541.0,55027.0,38977.0,39422.0,38351.0,45363.0,54738.0,47134.0,58846.0,41304.0,40590.0,51172.0,43679.0,49879.0,47570.0,43988.0,40739.0,44788.0,49065.0,47058.0,53822.0
2012-01-01,46170.0,50801.0,47581.0,48625.0,57066.0,46712.0,43193.0,51557.0,63983.0,47869.0,43524.0,41617.0,48020.0,62599.0,52513.0,50704.0,40611.0,41428.0,41807.0,39253.0,44341.0,49316.0,44045.0,43668.0,37963.0,51763.0,48180.0,42548.0,58962.0,43016.0,45859.0,52730.0,39187.0,40016.0,39456.0,46373.0,55069.0,48680.0,64517.0,41637.0,40990.0,52190.0,45708.0,50983.0,47494.0,44694.0,41361.0,45807.0,49603.0,46587.0,53224.0
2013-01-01,45839.0,50345.0,47335.0,48421.0,56794.0,47730.0,42278.0,50849.0,61685.0,47518.0,43132.0,41356.0,46444.0,60177.0,52117.0,48674.0,40249.0,41342.0,40670.0,39171.0,43980.0,49038.0,42472.0,42448.0,38301.0,49966.0,48736.0,40543.0,56738.0,42407.0,45670.0,52096.0,38133.0,39978.0,39856.0,46138.0,53511.0,49838.0,61532.0,41149.0,41192.0,51260.0,45185.0,51541.0,47120.0,44364.0,41179.0,45178.0,49444.0,46599.0,52247.0
2014-01-01,47491.0,51565.0,48987.0,49895.0,57340.0,50254.0,43817.0,51753.0,63564.0,48519.0,44085.0,42010.0,47874.0,62124.0,53254.0,49591.0,41743.0,42966.0,41592.0,40235.0,44719.0,50322.0,43823.0,45787.0,39622.0,50717.0,50192.0,42368.0,59527.0,44095.0,46836.0,53856.0,39827.0,40144.0,40851.0,46963.0,55466.0,51540.0,63104.0,42163.0,43052.0,52478.0,45340.0,51212.0,49298.0,45290.0,42744.0,45689.0,49950.0,46908.0,54103.0
2015-01-01,50074.0,53135.0,49009.0,51713.0,60375.0,51326.0,45696.0,54113.0,67849.0,50674.0,47214.0,43835.0,48421.0,63350.0,55187.0,51300.0,43675.0,45162.0,42149.0,41903.0,46540.0,51674.0,45797.0,46058.0,42061.0,52493.0,52739.0,43527.0,59581.0,45429.0,48871.0,56578.0,40734.0,40954.0,42395.0,47125.0,56504.0,49911.0,59820.0,44004.0,44953.0,53641.0,46701.0,51652.0,49460.0,47431.0,45719.0,47602.0,52197.0,49657.0,56086.0
2016-01-01,51845.0,54059.0,47705.0,52455.0,59836.0,50932.0,46131.0,54497.0,70215.0,50962.0,48004.0,43577.0,48637.0,64059.0,55877.0,52229.0,44368.0,45910.0,42098.0,42530.0,46690.0,52720.0,46302.0,46350.0,43390.0,53818.0,52593.0,45057.0,55726.0,45891.0,49186.0,56333.0,41535.0,41074.0,43501.0,45906.0,54409.0,46871.0,57045.0,44229.0,46549.0,53998.0,47043.0,51703.0,50635.0,48119.0,46904.0,48730.0,51997.0,49888.0,54640.0
2017-01-01,52604.0,56703.0,49944.0,52990.0,61749.0,52739.0,48133.0,55762.0,72416.0,51771.0,48940.0,44472.0,49320.0,64665.0,56585.0,53826.0,45728.0,47164.0,43731.0,44250.0,47828.0,52469.0,47617.0,47144.0,43710.0,54699.0,53025.0,45830.0,58146.0,46835.0,50277.0,56740.0,41045.0,41757.0,43698.0,47177.0,54005.0,48368.0,58576.0,44983.0,46979.0,54856.0,48257.0,52843.0,49930.0,49155.0,47169.0,48939.0,52520.0,50850.0,55273.0
2018-01-01,53481.0,57543.0,51578.0,54841.0,63345.0,56587.0,49932.0,55425.0,72433.0,52805.0,48952.0,46441.0,50153.0,68093.0,56760.0,54030.0,46621.0,48286.0,45021.0,45656.0,50874.0,54503.0,48656.0,47982.0,46524.0,55322.0,54882.0,45669.0,62945.0,48479.0,50530.0,55499.0,43916.0,42877.0,46334.0,49184.0,55410.0,50412.0,59405.0,45924.0,47087.0,57229.0,50187.0,53374.0,50638.0,49297.0,50302.0,49937.0,52149.0,52109.0,54975.0
2019-01-01,55915.0,58669.0,52351.0,56828.0,65445.0,57850.0,52072.0,56672.0,74097.0,53670.0,49322.0,47123.0,52112.0,69110.0,58709.0,56432.0,48799.0,49770.0,46591.0,47219.0,51841.0,55410.0,50930.0,50609.0,47932.0,56828.0,56211.0,46700.0,63624.0,48268.0,51273.0,57344.0,44966.0,43791.0,48080.0,49923.0,56881.0,52205.0,58763.0,46924.0,48631.0,59512.0,50986.0,54358.0,52739.0,50349.0,50824.0,50619.0,52319.0,52615.0,55874.0
2020-01-01,60011.0,60801.0,53456.0,60169.0,68032.0,59863.0,53888.0,59982.0,77515.0,57334.0,53577.0,50207.0,55605.0,70544.0,61418.0,58311.0,51422.0,52197.0,49453.0,50355.0,54946.0,59170.0,54314.0,53151.0,52063.0,58386.0,58848.0,48300.0,68414.0,51209.0,55124.0,62351.0,48683.0,47589.0,52322.0,52801.0,58532.0,53706.0,63669.0,50580.0,52482.0,61785.0,55822.0,57114.0,54402.0,54014.0,53887.0,54141.0,55518.0,55233.0,58531.0
2021-01-01,63271.0,63666.0,56565.0,62680.0,71971.0,64282.0,57193.0,62468.0,80287.0,59557.0,55251.0,52290.0,57342.0,72206.0,64046.0,60057.0,51875.0,53954.0,49594.0,53694.0,57819.0,61233.0,55605.0,55479.0,55448.0,59801.0,61090.0,50224.0,70876.0,53390.0,56903.0,66784.0,52357.0,49677.0,54349.0,54860.0,57623.0,56420.0,66621.0,53132.0,54976.0,64766.0,58704.0,58997.0,57077.0,56596.0,58810.0,56045.0,59451.0,55553.0,62680.0
2022-01-01,59103.0,60472.0,55382.0,59175.0,66701.0,63875.0,54746.0,60785.0,73383.0,57465.0,52679.0,50053.0,52380.0,67254.0,61250.0,58281.0,49456.0,50954.0,48337.0,50480.0,54794.0,57849.0,53226.0,51855.0,54307.0,57736.0,57654.0,48095.0,68772.0,52430.0,54516.0,66857.0,49501.0,45818.0,53199.0,51925.0,58069.0,54724.0,68481.0,50138.0,50448.0,59247.0,58297.0,57958.0,53806.0,54811.0,55582.0,54753.0,58769.0,55709.0,61750.0
