CBSA Name,1-unit Units,2-units Units,3-4 units Units,5+ units Units,year
Albany-Schenectady-Troy  NY,1212,60,149,925,2017
Glens Falls  NY,260,4,0,0,2017
Albuquerque  NM,1996,6,3,251,2017
Santa Fe  NM,221,0,0,0,2017
Amarillo  TX,555,12,4,204,2017
Appleton  WI,616,68,0,246,2017
Oshkosh-Neenah  WI,327,12,0,210,2017
Asheville  NC,2103,10,0,658,2017
Athens-Clarke County  GA,581,6,8,176,2017
Atlanta-Sandy Springs-Roswell  GA,24973,30,127,8702,2017
Gainesville  GA,1184,2,17,160,2017
Bend-Redmond  OR,1777,58,0,220,2017
Birmingham-Hoover  AL,2677,2,4,6,2017
Bloomington  IN,313,40,0,251,2017
Bloomington  IL,214,8,0,164,2017
Bloomsburg-Berwick  PA,105,0,6,58,2017
Boise City  ID,6275,26,297,1311,2017
Barnstable Town  MA,489,10,0,372,2017
Boston-Cambridge-Newton  MA-NH,4949,490,292,9026,2017
Manchester-Nashua  NH,717,36,16,264,2017
Providence-Warwick  RI-MA,1722,104,24,160,2017
Worcester  MA-CT,1297,46,0,425,2017
Bowling Green  KY,737,38,56,439,2017
Brownsville-Harlingen  TX,1139,60,24,22,2017
Buffalo-Cheektowaga-Niagara Falls  NY,979,6,23,649,2017
Cape Coral-Fort Myers  FL,4841,286,127,1700,2017
Naples-Immokalee-Marco Island  FL,2930,4,120,1140,2017
Cape Girardeau  MO-IL,260,12,0,326,2017
Cedar Rapids  IA,537,146,38,271,2017
Iowa City  IA,638,8,57,624,2017
Charleston  WV,70,10,16,39,2017
Huntington-Ashland  WV-KY-OH,234,10,12,8,2017
Charlotte-Concord-Gastonia  NC-SC,15247,72,42,7508,2017
Chattanooga  TN-GA,1928,22,20,661,2017
Cleveland  TN,519,20,50,50,2017
Dalton  GA,227,0,0,116,2017
Chicago-Naperville-Elgin  IL-IN-WI,8416,238,786,12692,2017
Kankakee  IL,88,0,8,102,2017
Michigan City-La Porte  IN,147,4,0,6,2017
Cincinnati  OH-KY-IN,4440,20,125,1880,2017
Akron  OH,901,0,8,11,2017
Canton-Massillon  OH,445,10,18,52,2017
Cleveland-Elyria  OH,2749,62,137,279,2017
Columbia  MO,769,14,0,851,2017
Columbia  SC,4072,8,0,549,2017
Auburn-Opelika  AL,971,26,4,360,2017
Columbus  GA-AL,669,2,26,220,2017
Columbus  OH,4295,42,116,4439,2017
Corpus Christi  TX,1178,4,4,0,2017
Dallas-Fort Worth-Arlington  TX,34604,296,231,27393,2017
Sherman-Denison  TX,666,6,0,171,2017
Davenport-Moline-Rock Island  IA-IL,443,4,18,285,2017
Dayton  OH,1083,2,0,166,2017
Springfield  OH,69,8,20,24,2017
Boulder  CO,808,6,16,837,2017
Denver-Aurora-Lakewood  CO,10978,238,128,11391,2017
Greeley  CO,2777,8,189,672,2017
Ames  IA,257,14,0,631,2017
Des Moines-West Des Moines  IA,3697,36,11,2623,2017
Ann Arbor  MI,583,12,40,22,2017
Detroit-Warren-Dearborn  MI,6838,48,284,2919,2017
Flint  MI,404,10,0,20,2017
Monroe  MI,298,8,0,144,2017
Dothan  AL,388,2,0,0,2017
Eau Claire  WI,422,88,4,54,2017
Elmira  NY,27,12,0,62,2017
El Paso  TX,2373,48,187,669,2017
Las Cruces  NM,803,0,7,316,2017
Erie  PA,215,0,0,50,2017
Fargo  ND-MN,1065,0,0,826,2017
Fayetteville  NC,874,0,0,61,2017
Fort Wayne  IN,1222,72,0,428,2017
Fresno  CA,1796,94,18,1025,2017
Madera  CA,415,0,0,0,2017
Gainesville  FL,684,0,0,1585,2017
Grand Rapids-Wyoming  MI,2953,18,44,1824,2017
Muskegon  MI,257,0,0,0,2017
Green Bay  WI,828,30,3,315,2017
Burlington  NC,1030,2,3,188,2017
Greensboro-High Point  NC,2012,22,12,1009,2017
Winston-Salem  NC,2784,20,12,949,2017
Greenville-Anderson-Mauldin  SC,4458,12,29,800,2017
Spartanburg  SC,2316,0,0,0,2017
Greenville  NC,603,86,0,448,2017
Gettysburg  PA,249,0,0,0,2017
Harrisburg-Carlisle  PA,1270,20,36,238,2017
Lebanon  PA,283,8,4,71,2017
York-Hanover  PA,678,22,55,83,2017
Harrisonburg  VA,446,0,0,6,2017
Staunton-Waynesboro  VA,281,6,20,0,2017
Hartford-West Hartford-East Hartford  CT,761,24,15,707,2017
Norwich-New London  CT,226,16,0,53,2017
Hickory-Lenoir-Morganton  NC,725,10,0,145,2017
Hot Springs  AR,38,0,0,0,2017
Houston-The Woodlands-Sugar Land  TX,36348,198,127,5722,2017
Decatur  AL,160,0,0,0,2017
Huntsville  AL,2577,2,0,380,2017
Idaho Falls  ID,903,0,0,282,2017
Columbus  IN,204,0,0,0,2017
Indianapolis-Carmel-Anderson  IN,6755,154,43,2127,2017
Muncie  IN,68,4,0,0,2017
Ithaca  NY,115,26,0,327,2017
Jackson  TN,268,2,50,120,2017
Jackson  MS,1671,16,16,40,2017
Jacksonville  FL,9833,64,51,3011,2017
Johnson City  TN,638,4,0,54,2017
Kingsport-Bristol-Bristol  TN-VA,469,28,4,287,2017
Johnstown  PA,81,2,0,0,2017
Jonesboro  AR,512,76,184,94,2017
Joplin  MO,445,56,55,209,2017
Battle Creek  MI,78,0,0,6,2017
Kalamazoo-Portage  MI,579,34,12,411,2017
Kansas City  MO-KS,5951,190,506,3204,2017
Lawrence  KS,288,10,0,8,2017
St. Joseph  MO-KS,101,2,0,6,2017
Knoxville  TN,3372,6,0,1196,2017
Morristown  TN,252,4,12,0,2017
Kokomo  IN,90,2,0,0,2017
Lafayette  LA,1746,6,19,0,2017
Lafayette-West Lafayette  IN,567,26,0,383,2017
Lake Charles  LA,1052,72,17,757,2017
Lansing-East Lansing  MI,533,10,20,344,2017
Lake Havasu City-Kingman  AZ,889,18,6,0,2017
Las Vegas-Henderson-Paradise  NV,9812,42,171,4048,2017
Lexington-Fayette  KY,1602,64,26,634,2017
Lima  OH,66,10,16,132,2017
Lincoln  NE,1271,34,0,1203,2017
Little Rock-North Little Rock-Conway  AR,2087,42,19,1067,2017
Pine Bluff  AR,36,2,0,36,2017
Longview  TX,167,12,8,0,2017
Los Angeles-Long Beach-Anaheim  CA,10587,1274,495,18728,2017
Oxnard-Thousand Oaks-Ventura  CA,1070,0,120,1375,2017
Riverside-San Bernardino-Ontario  CA,10955,170,277,3274,2017
Elizabethtown-Fort Knox  KY,415,72,20,0,2017
Louisville-Jefferson County  KY-IN,3446,22,52,2265,2017
Lubbock  TX,1613,6,3,766,2017
Macon  GA,320,0,0,0,2017
Warner Robins  GA,1016,0,0,180,2017
Janesville-Beloit  WI,242,28,0,108,2017
Madison  WI,1656,90,48,2838,2017
Manhattan  KS,304,2,4,71,2017
Mankato-North Mankato  MN,342,4,8,162,2017
Mansfield  OH,70,0,7,0,2017
McAllen-Edinburg-Mission  TX,2698,168,678,753,2017
Grants Pass  OR,228,22,0,0,2017
Medford  OR,724,18,16,47,2017
Memphis  TN-MS-AR,3193,46,44,577,2017
Miami-Fort Lauderdale-West Palm Beach  FL,6655,176,95,12797,2017
Port St. Lucie  FL,2087,90,62,48,2017
Sebastian-Vero Beach  FL,1112,0,9,0,2017
Midland  TX,766,0,0,0,2017
Odessa  TX,492,0,0,0,2017
Milwaukee-Waukesha-West Allis  WI,1559,110,0,1975,2017
Racine  WI,244,34,0,0,2017
Minneapolis-St. Paul-Bloomington  MN-WI,8782,128,108,6082,2017
St. Cloud  MN,514,4,0,301,2017
Daphne-Fairhope-Foley  AL,2207,92,98,20,2017
Mobile  AL,660,6,0,332,2017
Merced  CA,546,4,0,0,2017
Modesto  CA,644,8,0,67,2017
Monroe  LA,660,2,45,45,2017
Morgantown  WV,25,0,0,52,2017
Myrtle Beach-Conway-North Myrtle Beach  SC-NC,7468,142,0,977,2017
Nashville-Davidson--Murfreesboro--Franklin  TN,13650,82,100,6799,2017
New Bern  NC,295,0,0,0,2017
Hammond  LA,796,20,0,167,2017
New Orleans-Metairie  LA,2720,142,6,98,2017
Allentown-Bethlehem-Easton  PA-NJ,938,22,0,158,2017
Bridgeport-Stamford-Norwalk  CT,765,44,35,875,2017
East Stroudsburg  PA,248,0,0,0,2017
Kingston  NY,201,8,8,119,2017
New Haven-Milford  CT,469,16,0,265,2017
New York-Newark-Jersey City  NY-NJ-PA,11289,1754,1139,36396,2017
Trenton  NJ,152,2,174,277,2017
North Port-Sarasota-Bradenton  FL,5989,30,207,1953,2017
Punta Gorda  FL,1251,38,8,0,2017
Oklahoma City  OK,5132,214,19,54,2017
Omaha-Council Bluffs  NE-IA,3158,18,7,1772,2017
Deltona-Daytona Beach-Ormond Beach  FL,2908,120,0,26,2017
Orlando-Kissimmee-Sanford  FL,14431,220,136,4278,2017
The Villages  FL,1814,0,0,0,2017
Parkersburg-Vienna  WV,103,30,0,0,2017
Pensacola-Ferry Pass-Brent  FL,2584,20,0,5,2017
Peoria  IL,247,6,4,0,2017
Atlantic City-Hammonton  NJ,304,2,0,784,2017
Dover  DE,1153,14,20,367,2017
Ocean City  NJ,542,186,3,78,2017
Philadelphia-Camden-Wilmington  PA-NJ-DE-MD,7233,342,429,5540,2017
Reading  PA,399,12,0,0,2017
Vineland-Bridgeton  NJ,88,0,0,0,2017
Pittsburgh  PA,2988,64,152,1124,2017
Weirton-Steubenville  WV-OH,27,2,0,0,2017
Lewiston-Auburn  ME,169,6,0,77,2017
Portland-South Portland  ME,1973,62,20,462,2017
Albany  OR,481,0,0,58,2017
Corvallis  OR,116,4,16,0,2017
Longview  WA,464,20,0,0,2017
Portland-Vancouver-Hillsboro  OR-WA,6211,188,80,9504,2017
Salem  OR,790,58,12,695,2017
Pueblo  CO,352,6,0,10,2017
Durham-Chapel Hill  NC,3268,18,0,1638,2017
Raleigh  NC,10752,6,26,3396,2017
Rapid City  SD,560,26,16,177,2017
Redding  CA,382,0,0,0,2017
Carson City  NV,118,0,20,0,2017
Reno  NV,2091,50,7,2416,2017
Rochester  MN,818,6,0,625,2017
Rochester  NY,1185,12,38,543,2017
Rockford  IL,228,4,3,0,2017
Rocky Mount  NC,215,0,0,0,2017
Rome  GA,157,0,0,0,2017
Sacramento--Roseville--Arden-Arcade  CA,6815,92,0,2596,2017
Yuba City  CA,299,0,4,0,2017
Bay City  MI,62,0,8,0,2017
Midland  MI,118,24,0,0,2017
Saginaw  MI,182,46,15,92,2017
St. Louis  MO-IL,5608,42,73,1572,2017
Ogden-Clearfield  UT,2514,24,310,686,2017
Provo-Orem  UT,5090,48,428,1679,2017
Salt Lake City  UT,4918,48,176,2225,2017
Napa  CA,83,22,36,42,2017
San Francisco-Oakland-Hayward  CA,4777,82,220,11873,2017
San Jose-Sunnyvale-Santa Clara  CA,2592,14,68,5865,2017
Santa Cruz-Watsonville  CA,218,4,22,163,2017
Santa Rosa  CA,840,8,3,327,2017
Stockton-Lodi  CA,2107,2,18,652,2017
Vallejo-Fairfield  CA,840,0,0,67,2017
Hinesville  GA,443,2,8,52,2017
Savannah  GA,1898,8,0,212,2017
Bremerton-Silverdale  WA,952,4,3,135,2017
Mount Vernon-Anacortes  WA,534,18,19,92,2017
Olympia-Tumwater  WA,950,0,15,102,2017
Seattle-Tacoma-Bellevue  WA,9997,470,628,16239,2017
Sioux City  IA-NE-SD,383,0,6,84,2017
Elkhart-Goshen  IN,366,2,4,188,2017
Niles-Benton Harbor  MI,224,0,0,13,2017
South Bend-Mishawaka  IN-MI,479,0,0,480,2017
Coeur dAlene  ID,1415,14,3,346,2017
Spokane-Spokane Valley  WA,1785,122,69,1665,2017
Springfield  MO,1352,100,11,441,2017
Springfield  MA,441,6,0,74,2017
Springfield  IL,210,48,0,64,2017
State College  PA,319,26,0,122,2017
Syracuse  NY,557,0,0,602,2017
Tallahassee  FL,1897,10,0,1146,2017
Toledo  OH,704,4,104,159,2017
Tucson  AZ,2888,46,0,1561,2017
Tulsa  OK,3160,44,4,436,2017
Tyler  TX,472,26,38,142,2017
Victoria  TX,61,0,0,0,2017
Virginia Beach-Norfolk-Newport News  VA-NC,4404,38,169,1571,2017
Hanford-Corcoran  CA,272,0,0,0,2017
Visalia-Porterville  CA,1162,28,0,124,2017
Baltimore-Columbia-Towson  MD,5000,16,0,1824,2017
California-Lexington Park  MD,1164,0,0,0,2017
Chambersburg-Waynesboro  PA,342,8,4,58,2017
Hagerstown-Martinsburg  MD-WV,1171,2,0,84,2017
Washington-Arlington-Alexandria  DC-VA-MD-WV,14225,114,16,12910,2017
Winchester  VA-WV,637,4,55,192,2017
Wausau  WI,291,16,12,292,2017
Wichita  KS,1634,308,86,703,2017
Williamsport  PA,133,4,0,0,2017
Youngstown-Warren-Boardman  OH-PA,310,14,0,0,2017
Abilene  TX,282,36,4,0,2017
Albany  GA,411,0,0,5,2017
Alexandria  LA,292,10,0,0,2017
Altoona  PA,88,26,0,0,2017
Anchorage  AK,851,34,55,208,2017
Anniston-Oxford-Jacksonville  AL,69,0,0,0,2017
Augusta-Richmond County  GA-SC,2690,2,53,593,2017
Austin-Round Rock  TX,16119,50,103,10428,2017
Bakersfield  CA,2378,158,50,54,2017
Bangor  ME,250,8,16,30,2017
Baton Rouge  LA,3586,26,16,11,2017
Beaumont-Port Arthur  TX,1140,34,72,56,2017
Beckley  WV,83,0,0,0,2017
Bellingham  WA,793,38,18,407,2017
Billings  MT,992,28,36,169,2017
Binghamton  NY,128,6,27,243,2017
Bismarck  ND,514,32,10,76,2017
Blacksburg-Christiansburg-Radford  VA,416,0,3,318,2017
Brunswick  GA,604,0,4,10,2017
Burlington-South Burlington  VT,384,48,37,401,2017
Carbondale-Marion  IL,83,20,27,0,2017
Casper  WY,151,18,4,100,2017
Champaign-Urbana  IL,408,10,8,412,2017
Charleston-North Charleston  SC,4726,8,0,2533,2017
Charlottesville  VA,963,0,0,313,2017
Cheyenne  WY,389,6,76,102,2017
Chico  CA,457,8,3,355,2017
Clarksville  TN-KY,1558,52,43,160,2017
College Station-Bryan  TX,1155,118,32,1778,2017
Colorado Springs  CO,3852,4,3,1106,2017
Crestview-Fort Walton Beach-Destin  FL,2076,6,79,310,2017
Cumberland  MD-WV,50,0,0,0,2017
Danville  IL,54,0,0,50,2017
Decatur  IL,39,0,0,0,2017
Dubuque  IA,221,20,0,0,2017
Duluth  MN-WI,508,4,0,153,2017
El Centro  CA,179,4,8,0,2017
Enid  OK,59,0,0,36,2017
Eugene  OR,821,14,7,0,2017
Evansville  IN-KY,618,40,4,259,2017
Fairbanks  AK,7,0,8,0,2017
Farmington  NM,91,0,0,0,2017
Fayetteville-Springdale-Rogers  AR-MO,3528,148,61,992,2017
Flagstaff  AZ,434,0,3,260,2017
Florence  SC,511,0,0,510,2017
Florence-Muscle Shoals  AL,257,0,0,518,2017
Fond du Lac  WI,185,0,0,0,2017
Fort Collins  CO,2027,20,15,873,2017
Fort Smith  AR-OK,380,148,17,176,2017
Gadsden  AL,112,0,0,0,2017
Goldsboro  NC,272,8,0,0,2017
Grand Forks  ND-MN,227,4,0,186,2017
Grand Island  NE,196,6,8,72,2017
Grand Junction  CO,665,8,4,78,2017
Great Falls  MT,197,8,0,0,2017
Gulfport-Biloxi-Pascagoula  MS,1799,14,28,97,2017
Hattiesburg  MS,134,0,0,0,2017
Hilton Head Island-Bluffton-Beaufort  SC,2034,0,0,241,2017
Homosassa Springs  FL,433,22,0,91,2017
Houma-Thibodaux  LA,431,6,0,0,2017
Jackson  MI,183,0,0,10,2017
Jacksonville  NC,917,22,4,62,2017
Jefferson City  MO,243,8,20,51,2017
Kahului-Wailuku-Lahaina  HI,489,40,16,316,2017
Kennewick-Richland  WA,1457,64,0,288,2017
Killeen-Temple  TX,1789,262,0,405,2017
La Crosse-Onalaska  WI-MN,278,12,4,138,2017
Lakeland-Winter Haven  FL,4542,52,0,10,2017
Lancaster  PA,979,18,54,385,2017
Laredo  TX,1061,22,6,242,2017
Lawton  OK,82,2,0,0,2017
Lewiston  ID-WA,97,4,0,24,2017
Logan  UT-ID,811,0,120,442,2017
Lynchburg  VA,492,6,9,263,2017
Missoula  MT,395,40,22,515,2017
Montgomery  AL,761,0,0,0,2017
Ocala  FL,1942,0,0,304,2017
Owensboro  KY,250,14,0,0,2017
Palm Bay-Melbourne-Titusville  FL,2149,10,12,582,2017
Panama City  FL,984,44,11,747,2017
Phoenix-Mesa-Scottsdale  AZ,20471,302,212,8327,2017
Pittsfield  MA,90,0,11,93,2017
Pocatello  ID,203,0,20,0,2017
Prescott  AZ,1493,54,12,417,2017
Richmond  VA,4614,6,175,2350,2017
Roanoke  VA,424,2,0,166,2017
St. George  UT,2315,18,167,709,2017
Salinas  CA,534,2,13,227,2017
Salisbury  MD-DE,3032,218,81,274,2017
San Angelo  TX,193,4,0,0,2017
San Antonio-New Braunfels  TX,7535,270,115,4596,2017
San Diego-Carlsbad  CA,4056,138,560,5687,2017
San Luis Obispo-Paso Robles-Arroyo Grande  CA,693,4,120,277,2017
Santa Maria-Santa Barbara  CA,832,4,33,411,2017
Scranton--Wilkes-Barre--Hazleton  PA,425,10,27,118,2017
Sebring  FL,175,6,0,0,2017
Sheboygan  WI,154,14,14,208,2017
Shreveport-Bossier City  LA,1125,0,0,0,2017
Sierra Vista-Douglas  AZ,192,2,0,8,2017
Sioux Falls  SD,1533,22,67,1292,2017
Sumter  SC,222,0,0,0,2017
Tampa-St. Petersburg-Clearwater  FL,12732,56,25,5455,2017
Terre Haute  IN,48,24,0,203,2017
Texarkana  TX-AR,85,0,0,100,2017
Topeka  KS,327,8,0,0,2017
Tuscaloosa  AL,572,28,62,507,2017
Urban Honolulu  HI,1028,0,0,940,2017
Utica-Rome  NY,193,2,3,149,2017
Valdosta  GA,988,10,0,91,2017
Waco  TX,768,44,28,167,2017
Walla Walla  WA,148,0,0,0,2017
Waterloo-Cedar Falls  IA,304,18,0,386,2017
Watertown-Fort Drum  NY,141,0,0,0,2017
Wenatchee  WA,599,12,4,14,2017
Wheeling  WV-OH,18,2,0,0,2017
Wichita Falls  TX,108,8,3,0,2017
Wilmington  NC,2193,52,0,517,2017
Yakima  WA,412,4,18,0,2017
Yuma  AZ,1005,4,24,68,2017
Albany-Schenectady-Troy  NY,1231,30,121,857,2018
Glens Falls  NY,225,2,0,0,2018
Albuquerque  NM,2086,4,21,75,2018
Santa Fe  NM,243,0,0,30,2018
Amarillo  TX,637,12,0,101,2018
Appleton  WI,781,62,0,144,2018
Oshkosh-Neenah  WI,275,6,0,97,2018
Asheville  NC,2233,4,0,568,2018
Athens-Clarke County  GA,729,0,8,332,2018
Atlanta-Sandy Springs-Roswell  GA,26506,98,87,12750,2018
Gainesville  GA,1159,12,33,574,2018
Bend-Redmond  OR,1818,56,3,106,2018
Birmingham-Hoover  AL,2698,24,4,299,2018
Bloomington  IN,255,56,0,106,2018
Bloomington  IL,114,0,4,102,2018
Bloomsburg-Berwick  PA,83,0,0,111,2018
Boise City  ID,6923,64,293,1637,2018
Barnstable Town  MA,518,10,69,408,2018
Boston-Cambridge-Newton  MA-NH,4930,546,343,8364,2018
Manchester-Nashua  NH,709,62,22,613,2018
Providence-Warwick  RI-MA,1553,142,59,209,2018
Worcester  MA-CT,1300,102,3,364,2018
Bowling Green  KY,783,14,60,1342,2018
Brownsville-Harlingen  TX,1392,56,7,32,2018
Buffalo-Cheektowaga-Niagara Falls  NY,975,24,22,432,2018
Cape Coral-Fort Myers  FL,5803,532,159,3227,2018
Naples-Immokalee-Marco Island  FL,3253,8,78,1047,2018
Cape Girardeau  MO-IL,131,14,0,671,2018
Cedar Rapids  IA,490,132,6,331,2018
Iowa City  IA,511,106,48,702,2018
Charleston  WV,106,0,0,0,2018
Huntington-Ashland  WV-KY-OH,224,10,15,11,2018
Charlotte-Concord-Gastonia  NC-SC,16407,118,44,9640,2018
Chattanooga  TN-GA,1971,68,30,158,2018
Cleveland  TN,608,28,40,0,2018
Dalton  GA,288,4,13,16,2018
Chicago-Naperville-Elgin  IL-IN-WI,8546,318,631,8186,2018
Kankakee  IL,101,0,0,56,2018
Michigan City-La Porte  IN,134,6,0,0,2018
Cincinnati  OH-KY-IN,4282,66,133,1595,2018
Akron  OH,1011,8,12,179,2018
Canton-Massillon  OH,413,16,27,72,2018
Cleveland-Elyria  OH,2733,56,89,103,2018
Columbia  MO,555,2,0,0,2018
Columbia  SC,4478,28,0,446,2018
Auburn-Opelika  AL,1036,16,32,47,2018
Columbus  GA-AL,747,0,35,222,2018
Columbus  OH,4493,162,174,4611,2018
Corpus Christi  TX,1711,2,8,6,2018
Dallas-Fort Worth-Arlington  TX,36832,354,484,26223,2018
Sherman-Denison  TX,531,46,16,164,2018
Davenport-Moline-Rock Island  IA-IL,490,0,14,55,2018
Dayton  OH,1138,18,0,421,2018
Springfield  OH,68,0,0,0,2018
Boulder  CO,899,12,30,2013,2018
Denver-Aurora-Lakewood  CO,11808,200,158,9563,2018
Greeley  CO,3194,8,65,840,2018
Ames  IA,273,10,3,340,2018
Des Moines-West Des Moines  IA,3233,66,0,1624,2018
Ann Arbor  MI,652,10,27,116,2018
Detroit-Warren-Dearborn  MI,6131,60,171,801,2018
Flint  MI,435,8,20,167,2018
Monroe  MI,265,2,4,221,2018
Dothan  AL,359,0,0,55,2018
Eau Claire  WI,486,96,56,124,2018
Elmira  NY,25,10,0,151,2018
El Paso  TX,1751,154,30,481,2018
Las Cruces  NM,843,2,0,120,2018
Erie  PA,176,6,4,119,2018
Fargo  ND-MN,1080,4,8,1221,2018
Fayetteville  NC,803,16,0,0,2018
Fort Wayne  IN,1343,54,4,483,2018
Fresno  CA,2213,48,35,633,2018
Madera  CA,503,0,0,0,2018
Gainesville  FL,753,2,3,811,2018
Grand Rapids-Wyoming  MI,2749,88,114,903,2018
Muskegon  MI,221,0,0,12,2018
Green Bay  WI,766,22,0,413,2018
Burlington  NC,1084,4,0,331,2018
Greensboro-High Point  NC,1949,22,4,249,2018
Winston-Salem  NC,3123,2,0,374,2018
Greenville-Anderson-Mauldin  SC,5254,12,11,1153,2018
Spartanburg  SC,2685,0,0,0,2018
Greenville  NC,610,118,59,363,2018
Gettysburg  PA,224,0,0,0,2018
Harrisburg-Carlisle  PA,1344,2,65,602,2018
Lebanon  PA,278,12,3,6,2018
York-Hanover  PA,788,42,60,26,2018
Harrisonburg  VA,450,0,0,33,2018
Staunton-Waynesboro  VA,232,2,15,68,2018
Hartford-West Hartford-East Hartford  CT,807,14,14,752,2018
Norwich-New London  CT,297,12,0,357,2018
Hickory-Lenoir-Morganton  NC,893,36,0,407,2018
Hot Springs  AR,51,0,0,40,2018
Houston-The Woodlands-Sugar Land  TX,40321,254,106,16607,2018
Decatur  AL,152,0,0,0,2018
