CBSA Name,1-unit Units,2-units Units,3-4 units Units,5+ units Units,year
Charleston-North Charleston  SC,5913,16,11,2342,2021
Charlottesville  VA,999,18,0,410,2021
Cheyenne  WY,500,16,94,127,2021
Chico  CA,1193,44,67,746,2021
Clarksville  TN-KY,2217,22,143,1730,2021
College Station-Bryan  TX,1765,14,7,514,2021
Colorado Springs  CO,5074,312,24,3925,2021
Crestview-Fort Walton Beach-Destin  FL,3411,40,63,378,2021
Cumberland  MD-WV,69,0,0,0,2021
Danville  IL,6,0,0,0,2021
Decatur  IL,31,2,0,0,2021
Dubuque  IA,166,12,3,356,2021
Duluth  MN-WI,566,2,0,140,2021
El Centro  CA,425,2,20,108,2021
Enid  OK,35,0,0,0,2021
Eugene-Springfield  OR,910,44,26,1156,2021
Evansville  IN-KY,1045,88,16,200,2021
Fairbanks  AK,18,0,18,0,2021
Farmington  NM,97,0,0,0,2021
Fayetteville-Springdale-Rogers  AR-MO,5678,152,135,1155,2021
Flagstaff  AZ,596,4,14,437,2021
Florence  SC,738,2,6,20,2021
Florence-Muscle Shoals  AL,331,0,0,28,2021
Fond du Lac  WI,153,4,4,74,2021
Fort Collins  CO,2149,8,0,1064,2021
Fort Smith  AR-OK,444,182,20,16,2021
Gadsden  AL,138,0,4,46,2021
Goldsboro  NC,474,8,0,0,2021
Grand Forks  ND-MN,218,2,7,0,2021
Grand Island  NE,159,14,8,124,2021
Grand Junction  CO,909,10,15,297,2021
Great Falls  MT,200,24,0,48,2021
Gulfport-Biloxi  MS,2432,12,48,277,2021
Hickory-Lenoir-Morganton  NC,1302,24,52,502,2021
Hilton Head Island-Bluffton  SC,2693,0,3,1002,2021
Homosassa Springs  FL,1971,12,0,0,2021
Houma-Thibodaux  LA,538,40,9,0,2021
Jackson  MI,176,0,0,0,2021
Jacksonville  NC,1555,12,6,24,2021
Jefferson City  MO,238,0,8,0,2021
Kahului-Wailuku-Lahaina  HI,396,18,13,453,2021
Killeen-Temple  TX,2576,566,0,1170,2021
La Crosse-Onalaska  WI-MN,242,80,7,365,2021
Lake Havasu City-Kingman  AZ,1541,70,16,10,2021
Lancaster  PA,737,34,55,213,2021
Lansing-East Lansing  MI,605,20,10,381,2021
Laredo  TX,1462,42,28,152,2021
Lawton  OK,117,0,0,0,2021
Lewiston  ID-WA,113,14,0,0,2021
Logan  UT-ID,1070,0,39,200,2021
Longview  TX,395,32,0,152,2021
Lynchburg  VA,543,2,9,138,2021
Manhattan  KS,266,8,4,0,2021
Missoula  MT,436,32,14,1316,2021
Ocala  FL,5641,8,4,576,2021
Owensboro  KY,398,0,0,0,2021
Palm Bay-Melbourne-Titusville  FL,4451,26,4,693,2021
Panama City  FL,1520,22,3,1065,2021
Peoria  IL,219,10,0,150,2021
Pittsfield  MA,116,8,12,57,2021
Pocatello  ID,383,16,111,0,2021
Prescott Valley-Prescott  AZ,1905,106,4,466,2021
Richmond  VA,5946,398,49,3154,2021
Roanoke  VA,509,0,0,360,2021
St. George  UT,3218,44,28,194,2021
Salinas  CA,503,18,8,353,2021
San Angelo  TX,333,0,0,0,2021
San Diego-Chula Vista-Carlsbad  CA,3227,114,308,6399,2021
San Luis Obispo-Paso Robles  CA,678,18,64,360,2021
Santa Maria-Santa Barbara  CA,534,32,11,575,2021
Scranton--Wilkes-Barre  PA,537,18,12,77,2021
Sebring-Avon Park  FL,576,8,60,0,2021
Sheboygan  WI,166,22,0,80,2021
Sierra Vista-Douglas  AZ,422,12,0,0,2021
Sioux City  IA-NE-SD,326,10,37,84,2021
Sioux Falls  SD,1893,42,161,1890,2021
Springfield  MA,495,12,4,234,2021
Springfield  MO,1685,32,24,897,2021
Sumter  SC,468,4,0,0,2021
Tallahassee  FL,1592,20,0,1293,2021
Tampa-St. Petersburg-Clearwater  FL,19305,62,30,5434,2021
Terre Haute  IN,110,22,0,38,2021
Texarkana  TX-AR,259,0,0,0,2021
Topeka  KS,417,2,9,289,2021
Tuscaloosa  AL,771,6,115,604,2021
Twin Falls  ID,894,34,72,68,2021
Urban Honolulu  HI,938,54,0,446,2021
Utica-Rome  NY,160,6,4,286,2021
Valdosta  GA,1389,16,0,130,2021
Visalia  CA,1300,38,16,156,2021
Waco  TX,983,72,3,49,2021
Waterloo-Cedar Falls  IA,203,2,0,0,2021
Watertown-Fort Drum  NY,161,0,0,0,2021
Wenatchee  WA,803,30,8,159,2021
Wheeling  WV-OH,6,0,6,84,2021
Wichita Falls  TX,189,2,0,0,2021
Wilmington  NC,2671,174,12,1561,2021
Yakima  WA,631,46,75,351,2021
Yuma  AZ,1096,2,3,190,2021
Albany-Schenectady-Troy  NY,1266,68,44,1237,2022
Glens Falls  NY,232,16,22,22,2022
Albuquerque  NM,2002,0,7,1048,2022
Santa Fe  NM,177,14,0,399,2022
Altoona  PA,71,0,0,52,2022
Amarillo  TX,818,50,4,110,2022
Appleton  WI,480,104,0,183,2022
Oshkosh-Neenah  WI,325,32,0,102,2022
Asheville  NC,2813,2,0,716,2022
Athens-Clarke County  GA,771,20,12,1542,2022
Atlanta-Sandy Springs-Alpharetta  GA,26623,184,398,20902,2022
Gainesville  GA,1196,2,44,825,2022
Rome  GA,310,0,0,0,2022
Bend  OR,1178,112,47,776,2022
Birmingham-Hoover  AL,3045,64,46,992,2022
Bloomington  IN,340,6,0,206,2022
Bloomington  IL,305,6,8,118,2022
Bloomsburg-Berwick  PA,135,0,0,0,2022
Boise City  ID,5925,78,398,4074,2022
Barnstable Town  MA,564,36,15,272,2022
Boston-Cambridge-Newton  MA-NH,3985,466,377,9626,2022
Manchester-Nashua  NH,623,30,20,174,2022
Providence-Warwick  RI-MA,1559,224,82,257,2022
Worcester  MA-CT,1172,94,10,976,2022
Bowling Green  KY,835,8,35,758,2022
Brownsville-Harlingen  TX,1940,88,39,442,2022
Buffalo-Cheektowaga  NY,1219,32,49,297,2022
Burlington-South Burlington  VT,422,74,25,501,2022
Cape Coral-Fort Myers  FL,9145,256,113,4107,2022
Naples-Marco Island  FL,3519,28,171,1799,2022
Cape Girardeau  MO-IL,117,10,6,15,2022
Cedar Rapids  IA,453,70,19,405,2022
Iowa City  IA,492,92,62,783,2022
Charleston  WV,154,2,4,0,2022
Huntington-Ashland  WV-KY-OH,241,8,6,0,2022
Charlotte-Concord-Gastonia  NC-SC,19029,142,47,7994,2022
Chattanooga  TN-GA,2121,168,78,714,2022
Cleveland  TN,775,16,119,14,2022
Dalton  GA,376,40,34,30,2022
Chicago-Naperville-Elgin  IL-IN-WI,8563,296,649,8128,2022
Kankakee  IL,103,2,11,0,2022
Michigan City-La Porte  IN,124,0,3,195,2022
Cincinnati  OH-KY-IN,4126,290,174,1620,2022
Akron  OH,796,68,437,1746,2022
Canton-Massillon  OH,469,32,96,213,2022
Cleveland-Elyria  OH,2915,16,99,705,2022
Columbia  MO,628,12,4,135,2022
Columbia  SC,4101,18,175,1510,2022
Auburn-Opelika  AL,1127,28,7,1030,2022
Columbus  GA-AL,636,34,0,978,2022
Columbus  OH,5623,98,82,6292,2022
Corpus Christi  TX,1895,0,0,5,2022
Dallas-Fort Worth-Arlington  TX,43645,686,1306,32257,2022
Sherman-Denison  TX,1498,134,0,588,2022
Davenport-Moline-Rock Island  IA-IL,416,26,99,56,2022
Dayton-Kettering  OH,1262,22,47,934,2022
Springfield  OH,112,0,51,20,2022
Boulder  CO,661,26,76,879,2022
Denver-Aurora-Lakewood  CO,10108,368,196,12804,2022
Greeley  CO,3203,208,108,2624,2022
Ames  IA,239,8,52,32,2022
Des Moines-West Des Moines  IA,3646,106,61,2309,2022
Ann Arbor  MI,580,6,10,33,2022
Detroit-Warren-Dearborn  MI,4698,66,305,2876,2022
Flint  MI,324,8,52,26,2022
Monroe  MI,203,0,4,59,2022
Dothan  AL,484,10,4,0,2022
Eau Claire  WI,391,188,48,403,2022
Elmira  NY,30,0,0,51,2022
El Paso  TX,2147,62,30,227,2022
Las Cruces  NM,1079,6,20,0,2022
Erie  PA,166,18,0,54,2022
Fargo  ND-MN,1123,4,0,1187,2022
Fayetteville  NC,2145,0,0,338,2022
Fort Wayne  IN,1453,40,0,842,2022
Fresno  CA,2944,16,52,650,2022
Hanford-Corcoran  CA,414,4,18,0,2022
Madera  CA,880,6,16,64,2022
Gainesville  FL,1345,12,0,1780,2022
Grand Rapids-Kentwood  MI,2488,176,93,1441,2022
Muskegon  MI,321,10,0,217,2022
Green Bay  WI,627,204,0,418,2022
Burlington  NC,1793,2,8,146,2022
Greensboro-High Point  NC,2161,18,0,814,2022
Winston-Salem  NC,3983,4,3,60,2022
Greenville  NC,688,48,0,192,2022
Greenville-Anderson  SC,6477,126,226,1415,2022
Spartanburg  SC,2596,0,0,0,2022
Gettysburg  PA,394,0,0,0,2022
Harrisburg-Carlisle  PA,1820,2,17,872,2022
Lebanon  PA,225,0,0,139,2022
York-Hanover  PA,1062,8,0,292,2022
Harrisonburg  VA,649,14,8,39,2022
Staunton  VA,379,6,0,57,2022
Hartford-East Hartford-Middletown  CT,634,116,12,1155,2022
Norwich-New London  CT,379,10,4,52,2022
Hattiesburg  MS,135,0,19,0,2022
Hot Springs  AR,67,32,0,0,2022
Houston-The Woodlands-Sugar Land  TX,47701,880,23,27124,2022
Decatur  AL,275,0,4,0,2022
Huntsville  AL,3617,2,4,412,2022
Idaho Falls  ID,1184,4,120,72,2022
Columbus  IN,209,0,0,0,2022
Indianapolis-Carmel-Anderson  IN,8578,166,78,4671,2022
Muncie  IN,201,0,0,0,2022
Ithaca  NY,173,8,4,54,2022
Jackson  TN,454,2,0,0,2022
Jackson  MS,1221,6,7,0,2022
Jacksonville  FL,14410,86,59,8614,2022
Johnson City  TN,802,10,15,197,2022
Kingsport-Bristol  TN-VA,815,24,40,60,2022
Johnstown  PA,94,0,0,0,2022
Jonesboro  AR,681,126,213,129,2022
Joplin  MO,589,104,10,494,2022
Battle Creek  MI,93,2,0,0,2022
Kalamazoo-Portage  MI,341,22,54,40,2022
Kansas City  MO-KS,5204,258,367,5390,2022
Lawrence  KS,189,6,0,206,2022
St. Joseph  MO-KS,87,8,0,0,2022
Kennewick-Richland  WA,1232,36,133,485,2022
Walla Walla  WA,120,58,0,0,2022
Knoxville  TN,3809,32,10,987,2022
Morristown  TN,868,30,71,0,2022
Kokomo  IN,116,0,0,48,2022
Lafayette  LA,2051,0,0,20,2022
Lafayette-West Lafayette  IN,510,2,3,1023,2022
Lake Charles  LA,862,28,0,232,2022
Las Vegas-Henderson-Paradise  NV,9199,104,182,3581,2022
Lexington-Fayette  KY,1460,34,60,1155,2022
Lima  OH,106,0,3,0,2022
Lincoln  NE,1132,30,11,2176,2022
Little Rock-North Little Rock-Conway  AR,1863,56,3,1416,2022
Pine Bluff  AR,39,0,0,24,2022
Los Angeles-Long Beach-Anaheim  CA,11184,1626,414,19286,2022
Oxnard-Thousand Oaks-Ventura  CA,474,20,27,847,2022
Riverside-San Bernardino-Ontario  CA,12467,228,395,3657,2022
Elizabethtown-Fort Knox  KY,506,66,15,584,2022
Louisville-Jefferson County  KY-IN,3345,60,20,2031,2022
Lubbock  TX,2325,246,28,680,2022
Macon-Bibb County  GA,622,0,0,0,2022
Warner Robins  GA,1445,0,0,1050,2022
Janesville-Beloit  WI,286,34,0,76,2022
Madison  WI,1530,158,55,3836,2022
Mankato  MN,177,50,15,367,2022
Mansfield  OH,115,12,57,63,2022
McAllen-Edinburg-Mission  TX,3862,384,1170,510,2022
Grants Pass  OR,246,36,0,56,2022
Medford  OR,761,24,34,261,2022
Memphis  TN-MS-AR,3486,2,0,814,2022
Miami-Fort Lauderdale-Pompano Beach  FL,6970,290,133,12628,2022
Port St. Lucie  FL,5043,334,115,2312,2022
Sebastian-Vero Beach  FL,1141,30,12,0,2022
Midland  TX,594,0,0,0,2022
Odessa  TX,888,0,0,0,2022
Milwaukee-Waukesha  WI,1557,352,8,1249,2022
Racine  WI,145,18,0,0,2022
Minneapolis-St. Paul-Bloomington  MN-WI,9114,192,194,14225,2022
St. Cloud  MN,431,0,0,265,2022
Daphne-Fairhope-Foley  AL,3141,32,4,240,2022
Mobile  AL,738,0,12,0,2022
Monroe  LA,340,94,24,31,2022
Montgomery  AL,793,0,4,0,2022
Morgantown  WV,11,0,0,0,2022
Myrtle Beach-Conway-North Myrtle Beach  SC-NC,11526,50,20,387,2022
Nashville-Davidson--Murfreesboro--Franklin  TN,15388,164,173,12467,2022
New Bern  NC,552,2,0,136,2022
Hammond  LA,869,8,0,581,2022
New Orleans-Metairie  LA,3101,358,21,686,2022
Bridgeport-Stamford-Norwalk  CT,603,52,6,1007,2022
East Stroudsburg  PA,251,0,0,0,2022
Kingston  NY,280,6,0,160,2022
New Haven-Milford  CT,493,72,7,691,2022
New York-Newark-Jersey City  NY-NJ-PA,12089,1342,733,44248,2022
Poughkeepsie-Newburgh-Middletown  NY,889,12,39,852,2022
Trenton-Princeton  NJ,165,0,7,471,2022
North Port-Sarasota-Bradenton  FL,10987,372,59,4362,2022
Punta Gorda  FL,4637,326,117,596,2022
Oklahoma City  OK,5971,558,7,375,2022
Omaha-Council Bluffs  NE-IA,2651,134,213,3122,2022
Deltona-Daytona Beach-Ormond Beach  FL,6233,188,0,2115,2022
Lakeland-Winter Haven  FL,9158,72,3,2978,2022
Orlando-Kissimmee-Sanford  FL,16213,198,158,12114,2022
The Villages  FL,3723,0,0,828,2022
Parkersburg-Vienna  WV,66,0,0,0,2022
Pensacola-Ferry Pass-Brent  FL,3343,14,0,162,2022
Atlantic City-Hammonton  NJ,401,22,0,339,2022
Dover  DE,1008,24,0,24,2022
Ocean City  NJ,593,162,36,47,2022
Philadelphia-Camden-Wilmington  PA-NJ-DE-MD,8532,326,620,4935,2022
Reading  PA,372,6,0,8,2022
Vineland-Bridgeton  NJ,115,0,0,5,2022
Phoenix-Mesa-Chandler  AZ,26857,1532,239,18639,2022
Pittsburgh  PA,3184,86,116,2279,2022
Weirton-Steubenville  WV-OH,33,0,0,0,2022
Lewiston-Auburn  ME,238,4,0,242,2022
Portland-South Portland  ME,2122,112,48,1482,2022
Albany-Lebanon  OR,220,26,3,78,2022
Corvallis  OR,174,2,0,110,2022
Longview  WA,311,8,68,198,2022
Portland-Vancouver-Hillsboro  OR-WA,6029,106,89,6754,2022
Salem  OR,874,34,36,1873,2022
Pueblo  CO,497,0,0,0,2022
Durham-Chapel Hill  NC,3170,70,9,3143,2022
Raleigh-Cary  NC,12488,48,8,9024,2022
Rapid City  SD,620,8,20,997,2022
Redding  CA,375,0,0,0,2022
Carson City  NV,167,0,12,93,2022
Reno  NV,2184,120,65,3443,2022
Rochester  MN,641,6,55,1019,2022
Rochester  NY,1179,86,142,1179,2022
Rockford  IL,289,20,9,0,2022
Rocky Mount  NC,427,0,0,0,2022
Sacramento-Roseville-Folsom  CA,8170,188,115,2327,2022
Yuba City  CA,592,28,0,118,2022
Bay City  MI,67,0,0,0,2022
Midland  MI,108,22,0,0,2022
Saginaw  MI,143,12,0,20,2022
St. Louis  MO-IL,4743,94,92,4202,2022
Salisbury  MD-DE,4235,214,10,460,2022
Ogden-Clearfield  UT,2972,8,156,1891,2022
Provo-Orem  UT,5153,152,158,2824,2022
Salt Lake City  UT,3992,84,94,5932,2022
San Antonio-New Braunfels  TX,10226,192,183,13738,2022
Merced  CA,373,2,3,352,2022
Modesto  CA,636,6,3,29,2022
Napa  CA,220,2,6,872,2022
San Francisco-Oakland-Berkeley  CA,3370,84,154,7596,2022
San Jose-Sunnyvale-Santa Clara  CA,3899,22,8,4278,2022
Santa Cruz-Watsonville  CA,403,2,3,200,2022
Santa Rosa-Petaluma  CA,954,4,7,1299,2022
Stockton  CA,3163,28,0,560,2022
Vallejo  CA,948,0,0,206,2022
Hinesville  GA,768,4,0,72,2022
Savannah  GA,2228,136,93,737,2022
Bremerton-Silverdale-Port Orchard  WA,1041,8,50,602,2022
Mount Vernon-Anacortes  WA,261,16,35,267,2022
Olympia-Lacey-Tumwater  WA,584,22,19,913,2022
Seattle-Tacoma-Bellevue  WA,7029,934,718,17980,2022
Shreveport-Bossier City  LA,915,0,0,0,2022
Elkhart-Goshen  IN,327,0,0,60,2022
Niles  MI,260,22,0,5,2022
South Bend-Mishawaka  IN-MI,429,4,0,309,2022
Coeur dAlene  ID,1206,50,18,765,2022
Spokane-Spokane Valley  WA,2022,148,56,1796,2022
Springfield  IL,146,22,0,42,2022
State College  PA,291,12,16,338,2022
Syracuse  NY,466,22,0,92,2022
Toledo  OH,653,14,16,436,2022
Tucson  AZ,3735,62,12,1905,2022
Tulsa  OK,3843,42,24,1214,2022
Tyler  TX,701,62,32,35,2022
Victoria  TX,204,0,0,0,2022
Virginia Beach-Norfolk-Newport News  VA-NC,3680,34,15,2584,2022
Baltimore-Columbia-Towson  MD,2832,10,6,3740,2022
California-Lexington Park  MD,238,0,0,0,2022
Chambersburg-Waynesboro  PA,312,30,12,56,2022
Hagerstown-Martinsburg  MD-WV,1854,26,0,268,2022
Washington-Arlington-Alexandria  DC-VA-MD-WV,11657,80,20,20636,2022
Winchester  VA-WV,741,0,0,300,2022
Wausau-Weston  WI,351,12,0,124,2022
Wichita  KS,1586,806,62,396,2022
Williamsport  PA,70,0,0,43,2022
Youngstown-Warren-Boardman  OH-PA,347,2,3,12,2022
Abilene  TX,473,52,0,274,2022
Albany  GA,169,0,0,33,2022
Alexandria  LA,313,40,0,0,2022
Allentown-Bethlehem-Easton  PA-NJ,1586,28,20,675,2022
Anchorage  AK,166,10,8,29,2022
Anniston-Oxford  AL,76,2,0,0,2022
Augusta-Richmond County  GA-SC,3429,6,89,666,2022
Austin-Round Rock-Georgetown  TX,19717,326,142,22179,2022
Bakersfield  CA,2471,26,7,184,2022
Bangor  ME,349,50,31,0,2022
Baton Rouge  LA,3481,22,3,267,2022
Beaumont-Port Arthur  TX,1338,24,0,6,2022
Beckley  WV,104,0,0,0,2022
Bellingham  WA,810,10,78,716,2022
Billings  MT,881,72,0,249,2022
Binghamton  NY,152,0,0,300,2022
Bismarck  ND,378,90,70,72,2022
Blacksburg-Christiansburg  VA,377,16,0,107,2022
Brunswick  GA,880,88,63,537,2022
Carbondale-Marion  IL,67,4,69,10,2022
Casper  WY,133,10,4,60,2022
Champaign-Urbana  IL,313,0,32,575,2022
Charleston-North Charleston  SC,6329,2,32,2960,2022
Charlottesville  VA,1017,4,20,459,2022
Cheyenne  WY,375,0,144,644,2022
Chico  CA,989,50,48,766,2022
Clarksville  TN-KY,1501,44,409,2139,2022
College Station-Bryan  TX,1545,24,40,166,2022
Colorado Springs  CO,3646,236,20,4942,2022
Crestview-Fort Walton Beach-Destin  FL,2784,80,36,1222,2022
Cumberland  MD-WV,63,0,3,0,2022
Danville  IL,2,0,0,0,2022
Decatur  IL,21,0,0,0,2022
Dubuque  IA,155,2,6,0,2022
Duluth  MN-WI,560,14,0,187,2022
El Centro  CA,379,4,0,168,2022
Enid  OK,46,0,0,0,2022
Eugene-Springfield  OR,865,24,8,862,2022
Evansville  IN-KY,807,132,0,247,2022
Fairbanks  AK,27,0,0,0,2022
Farmington  NM,138,0,0,5,2022
Fayetteville-Springdale-Rogers  AR-MO,5435,174,174,1463,2022
Flagstaff  AZ,407,4,0,327,2022
Florence  SC,697,44,3,15,2022
Florence-Muscle Shoals  AL,204,44,0,26,2022
Fond du Lac  WI,142,0,0,0,2022
Fort Collins  CO,1385,40,41,1106,2022
Fort Smith  AR-OK,408,144,58,122,2022
Gadsden  AL,157,0,0,0,2022
Goldsboro  NC,344,2,0,72,2022
Grand Forks  ND-MN,165,0,0,0,2022
Grand Island  NE,179,32,23,0,2022
Grand Junction  CO,668,8,0,293,2022
Great Falls  MT,198,8,0,337,2022
Gulfport-Biloxi  MS,2695,12,8,188,2022
Hickory-Lenoir-Morganton  NC,1799,28,0,810,2022
Hilton Head Island-Bluffton  SC,2639,8,50,254,2022
Homosassa Springs  FL,1620,8,0,0,2022
Houma-Thibodaux  LA,762,52,6,52,2022
Jackson  MI,141,0,0,0,2022
Jacksonville  NC,1212,32,6,72,2022
Jefferson City  MO,163,8,8,0,2022
Kahului-Wailuku-Lahaina  HI,284,62,0,338,2022
Killeen-Temple  TX,2677,502,0,837,2022
La Crosse-Onalaska  WI-MN,212,48,12,129,2022
Lake Havasu City-Kingman  AZ,1962,82,35,0,2022
Lancaster  PA,945,42,34,408,2022
Lansing-East Lansing  MI,474,10,24,464,2022
Laredo  TX,1170,16,86,0,2022
Lawton  OK,79,0,0,0,2022
Lewiston  ID-WA,124,10,0,0,2022
Logan  UT-ID,787,4,4,313,2022
Longview  TX,351,50,52,292,2022
Lynchburg  VA,499,4,16,286,2022
Manhattan  KS,242,6,4,49,2022
Missoula  MT,347,20,15,696,2022
Ocala  FL,5318,4,0,1167,2022
Owensboro  KY,219,16,7,5,2022
Palm Bay-Melbourne-Titusville  FL,4255,2,36,965,2022
Panama City  FL,2104,16,9,159,2022
Peoria  IL,169,2,0,120,2022
Pittsfield  MA,112,10,4,0,2022
Pocatello  ID,284,24,113,121,2022
Prescott Valley-Prescott  AZ,1745,140,0,481,2022
Richmond  VA,4503,132,13,5766,2022
Roanoke  VA,452,4,0,315,2022
St. George  UT,2486,0,40,670,2022
Salinas  CA,611,18,63,394,2022
San Angelo  TX,322,0,0,0,2022
San Diego-Chula Vista-Carlsbad  CA,3517,114,374,5341,2022
San Luis Obispo-Paso Robles  CA,634,22,36,419,2022
Santa Maria-Santa Barbara  CA,376,8,23,689,2022
Scranton--Wilkes-Barre  PA,525,26,12,46,2022
Sebring-Avon Park  FL,641,22,0,0,2022
Sheboygan  WI,118,28,0,0,2022
Sierra Vista-Douglas  AZ,508,2,11,8,2022
Sioux City  IA-NE-SD,282,4,34,129,2022
Sioux Falls  SD,1626,24,234,3670,2022
Springfield  MA,431,30,4,275,2022
Springfield  MO,1415,44,18,229,2022
Sumter  SC,402,64,0,36,2022
Tallahassee  FL,1393,18,0,1645,2022
Tampa-St. Petersburg-Clearwater  FL,15678,200,798,13293,2022
Terre Haute  IN,118,20,24,54,2022
Texarkana  TX-AR,130,18,8,5,2022
Topeka  KS,413,16,0,0,2022
Tuscaloosa  AL,714,4,54,271,2022
Twin Falls  ID,483,22,0,100,2022
Urban Honolulu  HI,652,144,0,1757,2022
Utica-Rome  NY,244,0,4,76,2022
Valdosta  GA,1280,22,0,0,2022
Visalia  CA,1420,46,0,919,2022
Waco  TX,920,50,0,379,2022
Waterloo-Cedar Falls  IA,187,30,4,43,2022
Watertown-Fort Drum  NY,176,0,3,0,2022
Wenatchee  WA,570,10,36,245,2022
Wheeling  WV-OH,14,4,0,0,2022
Wichita Falls  TX,162,0,0,216,2022
Wilmington  NC,2489,142,14,1776,2022
Yakima  WA,426,40,81,159,2022
Yuma  AZ,728,22,4,98,2022
