State,City
Alabama,Huntsville
Alaska,Anchorage
American Samoa,Tafuna
Arizona,Phoenix
Arkansas,Little Rock
California,Los Angeles
Colorado,Denver
Connecticut,Bridgeport
Delaware,Wilmington
District of Columbia,"Washington, D.C."
Florida,Jacksonville
Georgia,Atlanta
Guam,Dededo
Hawaii,Honolulu
Idaho,Boise
Illinois,Chicago
Indiana,Indianapolis
Iowa,Des Moines
Kansas,Wichita
Kentucky,Louisville
Louisiana,New Orleans
Maine,Portland
Maryland,Baltimore
Massachusetts,Boston
Michigan,Detroit
Minnesota,Minneapolis
Mississippi,Jackson
Missouri,Kansas City
Montana,Billings
Nebraska,Omaha
Nevada,Las Vegas
New Hampshire,Manchester
New Jersey,Newark
New Mexico,Albuquerque
New York,New York City
North Carolina,Charlotte
North Dakota,Fargo
Northern Mariana Islands,Saipan
Ohio,Columbus
Oklahoma,Oklahoma City
Oregon,Portland
Pennsylvania,Philadelphia
Puerto Rico,San Juan
Rhode Island,Providence
South Carolina,Charleston
South Dakota,Sioux Falls
Tennessee,Nashville
Texas,Houston
Utah,Salt Lake City
Vermont,Burlington
Virgin Islands (U.S.),Charlotte Amalie
Virginia,Virginia Beach
Washington,Seattle
West Virginia,Charleston
Wisconsin,Milwaukee
Wyoming,Cheyenne
Alabama,Montgomery
Alaska,Juneau
American Samoa,Nuʻuuli
Arizona,Tucson
Arkansas,Fayetteville
California,San Diego
Colorado,Colorado Springs
Connecticut,Stamford
Delaware,Dover
Florida,Miami
Georgia,Columbus
Guam,Yigo
Hawaii,East Honolulu 
Idaho,Meridian
Illinois,Aurora
Indiana,Fort Wayne
Iowa,Cedar Rapids
Kansas,Overland Park
Kentucky,Lexington
Louisiana,Baton Rouge
Maine,Lewiston
Maryland,Columbia
Massachusetts,Worcester
Michigan,Grand Rapids
Minnesota,Saint Paul
Mississippi,Gulfport
Missouri,Saint Louis
Montana,Missoula
Nebraska,Lincoln
Nevada,Henderson
New Hampshire,Nashua
New Jersey,Jersey City
New Mexico,Las Cruces
New York,Buffalo
North Carolina,Raleigh
North Dakota,Bismarck
Northern Mariana Islands,Tinian
Ohio,Cleveland
Oklahoma,Tulsa
Oregon,Salem
Pennsylvania,Pittsburgh
Puerto Rico,Bayamón
Rhode Island,Cranston
South Carolina,Columbia
South Dakota,Rapid City
Tennessee,Memphis
Texas,San Antonio
Utah,West Valley City
Vermont,South Burlington
Virgin Islands (U.S.),Sion Farm
Virginia,Norfolk
Washington,Spokane
West Virginia,Huntington
Wisconsin,Madison
Wyoming,Casper
Alabama,Birmingham
Alaska,Fairbanks
American Samoa,Pago Pago
Arizona,Mesa
Arkansas,Fort Smith
California,San Jose
Colorado,Aurora
Connecticut,New Haven
Delaware,Newark
Florida,Tampa
Georgia,Augusta
Guam,Tamuning
Hawaii,Pearl City
Idaho,Nampa
Illinois,Naperville
Indiana,Evansville
Iowa,Davenport
Kansas,Kansas City
Kentucky,Bowling Green
Louisiana,Shreveport
Maine,Bangor
Maryland,Germantown
Massachusetts,Springfield
Michigan,Warren
Minnesota,Rochester
Mississippi,Southaven
Missouri,Springfield
Montana,Great Falls
Nebraska,Bellevue
Nevada,Reno
New Hampshire,Concord
New Jersey,Paterson
New Mexico,Rio Rancho
New York,Yonkers
North Carolina,Greensboro
North Dakota,Grand Forks
Northern Mariana Islands,Rota
Ohio,Cincinnati
Oklahoma,Norman
Oregon,Eugene
Pennsylvania,Allentown
Puerto Rico,Carolina
Rhode Island,Warwick
South Carolina,North Charleston
South Dakota,Aberdeen
Tennessee,Knoxville
Texas,Dallas
Utah,Provo
Vermont,Colchester
Virgin Islands (U.S.),Northside
Virginia,Chesapeake
Washington,Tacoma
West Virginia,Morgantown
Wisconsin,Green Bay
Wyoming,Laramie
Alabama,Mobile
Alaska,Wasilla
American Samoa,'Ili'ili
Arizona,Chandler
Arkansas,Springdale
California,San Francisco
Colorado,Fort Collins
Connecticut,Hartford
Delaware,Middletown
Florida,Orlando
Georgia,Macon
Guam,Mangilao
Hawaii,Hilo
Idaho,Idaho Falls
Illinois,Joliet
Indiana,South Bend
Iowa,Sioux City
Kansas,Olathe
Kentucky,Owensboro
Louisiana,Lafayette
Maine,South Portland
Maryland,Silver Spring
Massachusetts,Cambridge
Michigan,Sterling Heights
Minnesota,Duluth
Mississippi,Biloxi
Missouri,Columbia
Montana,Bozeman
Nebraska,Grand Island
Nevada,North Las Vegas
New Hampshire,Dover
New Jersey,Elizabeth
New Mexico,Santa Fe
New York,Rochester
North Carolina,Durham
North Dakota,Minot
Northern Mariana Islands,Northern Islands
Ohio,Toledo
Oklahoma,Broken Arrow
Oregon,Gresham
Pennsylvania,Erie
Puerto Rico,Ponce
Rhode Island,Pawtucket
South Carolina,Mount Pleasant
South Dakota,Brookings
Tennessee,Chattanooga
Texas,Austin
Utah,West Jordan
Vermont,Rutland
Virgin Islands (U.S.),East End
Virginia,Richmond
Washington,Vancouver
West Virginia,Parkersburg
Wisconsin,Kenosha
Wyoming,Gillette
Alabama,Tuscaloosa
Alaska,Sitka
American Samoa,Pava'ia'i
Arizona,Scottsdale
Arkansas,Jonesboro
California,Fresno
Colorado,Lakewood
Connecticut,Waterbury
Delaware,Smyrna
Florida,St. Petersburg
Georgia,Savannah
Guam,Barrigada
Hawaii,Kailua
Idaho,Caldwell
Illinois,Rockford
Indiana,Carmel
Iowa,Iowa City
Kansas,Topeka
Kentucky,Covington
Louisiana,Lake Charles
Maine,Auburn
Maryland,Waldorf
Massachusetts,Lowell
Michigan,Ann Arbor
Minnesota,Bloomington
Mississippi,Hattiesburg
Missouri,Independence
Montana,Butte
Nebraska,Kearney
Nevada,Paradise
New Hampshire,Rochester
New Jersey,Edison
New Mexico,Roswell
New York,Syracuse
North Carolina,Winston-Salem
North Dakota,West Fargo
Ohio,Akron
Oklahoma,Edmond
Oregon,Hillsboro
Pennsylvania,Reading
Puerto Rico,Caguas
Rhode Island,East Providence
South Carolina,Rock Hill
South Dakota,Watertown
Tennessee,Clarksville
Texas,Fort Worth
Utah,Orem
Vermont,Bennington
Virgin Islands (U.S.),Southcentral
Virginia,Arlington
Washington,Bellevue
West Virginia,Wheeling
Wisconsin,Racine
Wyoming,Rock Springs
